Date,Mantas,Plankton,Boats,Tour,High tide,Low tide
11/18/2024,2,2,1,1,2.44,0.54
11/19/2024,4,2,1,2,0.86,0.04
11/20/2024,5,3,1,1,2.09,0.56
11/21/2024,5,3,2,1,1.92,0.21
11/21/2024,9,3,1,2,0.75,0.51
11/22/2024,5,3,2,1,1.77,0.4
11/23/2024,2,3,1,1,1.67,0.56
11/23/2024,5,1,1,2,1.1,0.36
11/24/2024,7,3,1,1,1.58,0.64
11/24/2024,7,2,1,2,1.58,0.28
11/25/2024,5,3,2,1,1.33,0.67
11/26/2024,5,2,2,1,1.57,0.66
11/26/2024,9,3,1,2,1.41,0.08
11/27/2024,7,3,2,1,1.78,0.63
11/27/2024,12,3,2,2,1.33,-0.01
11/28/2024,5,2,2,1,1.96,0.59
11/28/2024,5,2,1,2,1.25,-0.08
11/29/2024,2,2,2,1,2.1,0.56
11/29/2024,4,1,1,2,1.18,-0.14
11/30/2024,2,2,1,2,1.11,-0.18
12/1/2024,4,3,1,1,2.24,0.53
12/1/2024,7,3,2,2,1.05,-0.19
12/2/2024,4,2,2,1,2.25,0.53
12/3/2024,6,3,2,1,2.24,0.54
12/3/2024,11,4,2,2,0.94,-0.12
12/4/2024,11,3,2,1,2.19,0.54
12/5/2024,4,2,2,1,2.13,0.53
12/5/2024,8,3,2,2,0.84,0.1
12/6/2024,5,2,2,1,2.05,0.48
12/6/2024,5,3,2,2,0.83,0.48
12/7/2024,8,2,2,1,1.94,0.28
12/7/2024,5,1,2,2,0.93,0.38
12/9/2024,5,2,2,1,1.69,0.65
12/9/2024,14,2,2,2,1.69,0.1
12/10/2024,5,2,2,1,1.53,0.7
12/10/2024,8,3,1,2,1.55,-0.05
12/11/2024,5,4,2,1,1.87,0.68
12/11/2024,0,,1,2,1.4,-0.19
12/12/2024,6,2,2,1,2.17,0.61
12/13/2024,2,1,2,1,2.39,0.54
12/13/2024,3,3,1,2,1.16,-0.36
12/14/2024,4,2,2,1,2.51,0.49
12/14/2024,6,3,1,2,1.07,-0.38
12/15/2024,4,2,2,1,2.54,0.45
12/15/2024,4,2,1,2,1.02,-0.35
12/16/2024,4,2,1,1,2.49,0.43
12/16/2024,4,3,1,2,0.97,-0.27
12/17/2024,6,3,1,1,2.39,0.42
12/17/2024,7,3,1,2,0.93,-0.16
12/18/2024,6,3,1,1,2.25,0.42
12/18/2024,5,2,1,2,0.9,-0.01
12/19/2024,4,2,2,1,2.08,0.42
